val_0_coordinates,val_0_potential,val_1_coordinates,val_1_potential,val_2_coordinates,val_2_potential,val_3_coordinates,val_3_potential,val_4_coordinates,val_4_potential,x_axis,y_axis
0,0.00035048495022535486,0,0.00021866076064024076,0,3.2903724264232714e-05,0,3.327042768253019e-05,0,6.21768860790406e-05,9.6,0.5
0,0.0003566353215558593,0,0.00022793543557864115,0,3.3464115390346993e-05,0,3.390252974516672e-05,0,6.380338825942578e-05,9.61111111111111,0.51010101010101
0,0.0003625033783626469,0,0.00023775521740805605,0,3.4024041174557373e-05,0,3.45405010651334e-05,0,6.548151970278693e-05,9.622222222222222,0.5202020202020202
0,0.00036806430038774374,0,0.00024816236957929394,0,3.4582709023817104e-05,0,3.518386470768853e-05,0,6.721306546950134e-05,9.633333333333333,0.5303030303030303
0,0.00037329446409332945,0,0.0002592033160516427,0,3.5139286018059934e-05,0,3.5832102881910854e-05,0,6.899986792421875e-05,9.644444444444444,0.5404040404040404
0,0.00037817166867523677,0,0.00027092914448959005,0,3.5692899802680644e-05,0,3.6484655794644105e-05,0,7.084382755298546e-05,9.655555555555555,0.5505050505050505
0,0.00038267534336274,0,0.0002833961822280989,0,3.624263981349962e-05,0,3.714092063089591e-05,0,7.274690364666991e-05,9.666666666666666,0.5606060606060606
0,0.00038678673213238257,0,0.00029666665732246134,0,3.6787558859052716e-05,0,3.780025068722548e-05,0,7.471111482842963e-05,9.677777777777777,0.5707070707070707
0,0.00039048905260476163,0,0.0003108094593997357,0,3.732667507641563e-05,0,3.846195467480107e-05,0,7.673853940107223e-05,9.688888888888888,0.5808080808080808
0,0.0003937676266506096,0,0.0003259010179550714,0,3.7858974277077406e-05,0,3.9125296218550654e-05,0,7.883131548536149e-05,9.7,0.5909090909090909
0,0.00039660998104180945,0,0.0003420263193366635,0,3.838341269743473e-05,0,3.978949357680284e-05,0,8.099164092098543e-05,9.71111111111111,0.601010101010101
0,0.00039900591733982305,0,0.00035928008808128187,0,3.8898920160373995e-05,0,4.0453719602900895e-05,0,8.322177289488142e-05,9.722222222222221,0.6111111111111112
0,0.00040094755105558877,0,0.00037776816375029165,0,3.9404403653298115e-05,0,4.111710197590712e-05,0,8.552402726064168e-05,9.733333333333333,0.6212121212121212
0,0.00040242932094103345,0,0.00039760911121218545,0,3.989875132232035e-05,0,4.177872372171376e-05,0,8.79007775108076e-05,9.744444444444444,0.6313131313131313
0,0.0004034479700163046,0,0.00041893611082922944,0,4.0380836875325565e-05,0,4.243762405128915e-05,0,9.035445335678349e-05,9.755555555555555,0.6414141414141414
0,0.00040400250059635656,0,0.0004418991856826593,0,4.084952437999334e-05,0,4.309279953554346e-05,0,9.288753886704804e-05,9.766666666666666,0.6515151515151515
0,0.0004040941061298625,0,0.00046666783643854737,0,4.1303673440407085e-05,0,4.37432056389353e-05,0,9.5502570115924e-05,9.777777777777777,0.6616161616161617
0,0.00040372608307043256,0,0.0004934341715843032,0,4.174214472277282e-05,0,4.4387758631386776e-05,0,9.820213228278751e-05,9.788888888888888,0.6717171717171717
0,0.00040290372627434234,0,0.0005224166425853161,0,4.2163805797218457e-05,0,4.502533789307872e-05,0,0.00010098885614495678,9.799999999999999,0.6818181818181819
0,0.00040163421154071344,0,0.0005538645216140864,0,4.256753725773166e-05,0,4.565478862761374e-05,0,0.00010386541389492687,9.81111111111111,0.6919191919191919
0,0.0003999264688844262,0,0.0005880632958006199,0,4.2952239067639564e-05,0,4.627492499256758e-05,0,0.00010683451421528156,9.822222222222221,0.702020202020202
0,0.00039779104997311743,0,0.000625341199248397,0,4.3316837080226156e-05,0,4.688453365131462e-05,0,0.00010989889653703622,9.833333333333332,0.7121212121212122
0,0.000395239992878188,0,0.0006660771661418929,0,4.3660289671371144e-05,0,4.7482377750512894e-05,0,0.00011306132439770078,9.844444444444443,0.7222222222222222
0,0.00039228668689414437,0,0.0007107105703096223,0,4.398159441704186e-05,0,4.8067201315116215e-05,0,0.00011632457782115302,9.855555555555554,0.7323232323232324
0,0.00038894573972722557,0,0.0007597532260575773,0,4.42797947466933e-05,0,4.8637734055057e-05,0,0.0001196914446256192,9.866666666666667,0.7424242424242424
0,0.0003852328488200274,0,0.0008138042722456856,0,4.4553986493278686e-05,0,4.919269656297742e-05,0,0.00012316471057055578,9.877777777777776,0.7525252525252526
0,0.000381164678049134,0,0.0008735687614150611,0,4.480332426667899e-05,0,4.973080588616119e-05,0,0.0001267471482435112,9.88888888888889,0.7626262626262627
0,0.0003767587404960304,0,0.0009398810497744936,0,4.502702756845056e-05,0,5.025078143897077e-05,0,0.00013044150459054493,9.9,0.7727272727272727
0,0.00037203328748300346,0,0.0010137344636171747,0,4.522438656859307e-05,0,5.0751351222816377e-05,0,0.00013425048698295639,9.911111111111111,0.7828282828282829
0,0.00036700720363694317,0,0.001096319250086908,0,4.539476747036919e-05,0,5.123125831080211e-05,0,0.00013817674772462207,9.922222222222222,0.7929292929292929
0,0.0003616999073720317,0,0.0011890715757097298,0,4.553761738773643e-05,0,5.168926755000358e-05,0,0.00014222286688572727,9.933333333333334,0.803030303030303
0,0.0003561312559243468,0,0.0012937374224656628,0,4.565246866539141e-05,0,5.212417242309031e-05,0,0.00014639133337313037,9.944444444444445,0.8131313131313131
0,0.0003503214539012922,0,0.001412456815856722,0,4.5738942583556375e-05,0,5.253480201292127e-05,0,0.00015068452412536626,9.955555555555556,0.8232323232323233
0,0.0003442909642622227,0,0.0015478761670129487,0,4.579675238819414e-05,0,5.292002800244555e-05,0,0.00015510468134560806,9.966666666666667,0.8333333333333334
